,v2
0,-0.06749162822961807
1,0.03878326341509819
2,0.01650182344019413
3,-0.139097198843956
4,-0.038281332701444626
5,0.004399165511131287
6,0.01265346072614193
7,-0.09928879141807556
8,0.24301056563854218
9,-0.16027621924877167
10,0.17810378968715668
11,-0.019006291404366493
12,-0.21375268697738647
13,-0.005681399255990982
14,-0.020128585398197174
15,0.19814422726631165
16,-0.21207471191883087
17,-0.1572098284959793
18,-0.09718381613492966
19,-0.05649559944868088
20,-0.02970871329307556
21,0.02043895423412323
22,0.03494657576084137
23,0.06414297223091125
24,-0.07324103266000748
25,-0.29911842942237854
26,-0.1026013195514679
27,-0.10222475230693817
28,0.01999504864215851
29,-0.056665003299713135
30,-0.03621840476989746
31,0.0037075579166412354
32,-0.17878282070159912
33,-0.030252639204263687
34,0.03358306735754013
35,0.18930593132972717
36,-0.025130674242973328
37,-0.1408246010541916
38,0.15594711899757385
39,-0.03471920266747475
40,-0.1992889791727066
41,-0.05511526018381119
42,0.02693704515695572
43,0.22390326857566833
44,0.2343369722366333
45,0.02803010866045952
46,-0.07329775393009186
47,-0.12959221005439758
48,0.12301064282655716
49,-0.2844751477241516
50,0.021560262888669968
51,0.04854012280702591
52,0.025280192494392395
53,0.05406787246465683
54,0.023972786962985992
55,-0.09756819903850555
56,0.08902648836374283
57,0.1516501009464264
58,-0.19633673131465912
59,-0.0676857978105545
60,0.014999954961240292
61,-0.1414223462343216
62,0.024623168632388115
63,-0.030295683071017265
64,0.32066649198532104
65,0.12458036839962006
66,-0.15641435980796814
67,-0.07783997058868408
68,0.14258916676044464
69,-0.19479960203170776
70,-0.04443966597318649
71,-0.010075129568576813
72,-0.07026363909244537
73,-0.16769401729106903
74,-0.28555336594581604
75,0.0038893520832061768
76,0.4471968114376068
77,0.13014592230319977
78,-0.17428891360759735
79,0.0827421173453331
80,-0.06319767981767654
81,-0.015679918229579926
82,0.15730153024196625
83,0.1857934147119522
84,-0.03898950666189194
85,0.0006796102970838547
86,-0.1281885802745819
87,-0.006012884434312582
88,0.26152974367141724
89,-0.0899699330329895
90,-0.012605953961610794
91,0.19574850797653198
92,-0.07062219083309174
93,0.07786084711551666
94,0.04558425024151802
95,0.04975609481334686
96,-0.07918791472911835
97,0.03084215521812439
98,-0.16289971768856049
99,-0.015288449823856354
100,0.0570407435297966
101,0.01368662714958191
102,-0.0298665352165699
103,0.1275317221879959
104,-0.1412644386291504
105,0.0839761272072792
106,0.0009012380614876747
107,-0.07101641595363617
108,0.07865482568740845
109,-0.07458679378032684
110,-0.04767262563109398
111,-0.13309898972511292
112,0.17346270382404327
113,-0.24789531528949738
114,0.14038053154945374
115,0.18877309560775757
116,-0.03355976939201355
117,0.19236692786216736
118,0.06990844756364822
119,0.11702660471200943
120,0.004393130540847778
121,-0.024925597012043
122,-0.22909267246723175
123,0.010035421699285507
124,0.1059761643409729
125,0.009044133126735687
126,0.100059874355793
127,0.0053132809698581696
