,Abhangi
0,-0.16550782322883606
1,0.10536395013332367
2,0.049985114485025406
3,-0.07269857823848724
4,-0.013587571680545807
5,-0.025646090507507324
6,0.005154689773917198
7,-0.0550415962934494
8,0.1368185430765152
9,-0.07969757914543152
10,0.250789999961853
11,0.015105120837688446
12,-0.22110071778297424
13,-0.17517074942588806
14,0.02155785821378231
15,0.08038870990276337
16,-0.16833442449569702
17,-0.15059120953083038
18,-0.008673600852489471
19,-0.06127572059631348
20,0.02110511064529419
21,-0.01573457196354866
22,-0.002548985183238983
23,0.07860143482685089
24,-0.1704079806804657
25,-0.329366534948349
26,-0.07026448845863342
27,-0.15329903364181519
28,-0.01553928479552269
29,-0.06642890721559525
30,0.05437720566987991
31,0.05215219408273697
32,-0.22467456758022308
33,-0.008008245378732681
34,-0.021585315465927124
35,0.10897770524024963
36,0.031063860282301903
37,0.06137001886963844
38,0.17204269766807556
39,0.010003438219428062
40,-0.12616778910160065
41,-0.1021059900522232
42,0.02584129385650158
43,0.2874965965747833
44,0.1505272388458252
45,-0.027877572923898697
46,0.01147015392780304
47,0.008188456296920776
48,0.09523378312587738
49,-0.24558669328689575
50,0.07786191254854202
51,0.1477881222963333
52,0.07837957888841629
53,0.041217368096113205
54,0.10043171048164368
55,-0.1213238537311554
56,0.0014732182025909424
57,0.08820322155952454
58,-0.18586508929729462
59,0.05852985382080078
60,-0.015540063381195068
61,-0.09447795152664185
62,-0.16370052099227905
63,-0.0632200688123703
64,0.21199798583984375
65,0.07535705715417862
66,-0.14479754865169525
67,-0.15469206869602203
68,0.2050941288471222
69,-0.12574484944343567
70,-0.047107063233852386
71,0.12587273120880127
72,-0.08962588012218475
73,-0.1295379400253296
74,-0.3306310176849365
75,0.09135571867227554
76,0.3741540014743805
77,0.1398291140794754
78,-0.1581714153289795
79,0.09675031900405884
80,-0.15530210733413696
81,-0.03428368270397186
82,-0.0162758007645607
83,0.03528514504432678
84,-0.06480436027050018
85,0.09622582793235779
86,-0.09508208930492401
87,0.07840745151042938
88,0.06513024866580963
89,0.057154007256031036
90,-0.019302597269415855
91,0.1909986287355423
92,-0.05762195214629173
93,0.04594054073095322
94,0.05203172191977501
95,0.04338669776916504
96,-0.060734715312719345
97,-0.054052866995334625
98,-0.12130466848611832
99,-0.03987577557563782
100,0.1031142994761467
101,-0.12333153188228607
102,-0.013995453715324402
103,0.09332296252250671
104,-0.2280711680650711
105,0.1347149908542633
106,0.02133866399526596
107,-0.004502344410866499
108,0.013657383620738983
109,0.04995192587375641
110,-0.10256902873516083
111,-0.017629295587539673
112,0.13279801607131958
113,-0.33683717250823975
114,0.1852082461118698
115,0.13355426490306854
116,-0.02384883165359497
117,0.14147502183914185
118,0.06953609734773636
119,0.04590076580643654
120,-0.060130029916763306
121,-0.09131942689418793
122,-0.15117676556110382
123,-0.08968496322631836
124,0.013142868876457214
125,-0.03131795674562454
126,0.028692692518234253
127,0.01987723633646965
