,Shubham
0,-0.05963939428329468
1,0.03482523560523987
2,0.03735071420669556
3,-0.022581078112125397
4,-0.048462800681591034
5,-0.05236651003360748
6,-0.0031998399645090103
7,-0.07172997295856476
8,0.16288454830646515
9,-0.08300423622131348
10,0.1347561627626419
11,-0.04869716614484787
12,-0.1896856129169464
13,-0.0855882316827774
14,-0.050632260739803314
15,0.07206055521965027
16,-0.025401901453733444
17,-0.16457082331180573
18,-0.03834731504321098
19,-0.14270120859146118
20,-0.044614288955926895
21,-0.018083084374666214
22,-0.005499795079231262
23,0.04918205738067627
24,-0.15102779865264893
25,-0.32841095328330994
26,-0.06184671074151993
27,-0.10972528904676437
28,0.008631356991827488
29,-0.06194866821169853
30,-0.042051203548908234
31,0.10702027380466461
32,-0.14312487840652466
33,-0.026272108778357506
34,-0.0350661538541317
35,0.14607584476470947
36,-0.029230190441012383
37,-0.032970551401376724
38,0.20559579133987427
39,0.04104439169168472
40,-0.16007818281650543
41,-0.01486266404390335
42,0.029830431565642357
43,0.23615175485610962
44,0.20406201481819153
45,-0.04812286049127579
46,0.044207971543073654
47,-0.03355127573013306
48,0.16060493886470795
49,-0.15175840258598328
50,0.07914432883262634
51,0.14537189900875092
52,0.12568965554237366
53,0.07797862589359283
54,0.10879984498023987
55,-0.07936658710241318
56,-0.009047223255038261
57,0.07318724691867828
58,-0.1735057383775711
59,-0.024889864027500153
60,-0.014531945809721947
61,-0.0034102629870176315
62,-0.0758470818400383
63,-0.05309778451919556
64,0.11465630680322647
65,0.12796859443187714
66,-0.04290607571601868
67,-0.16091826558113098
68,0.2016114592552185
69,-0.23809245228767395
70,-0.0702151358127594
71,0.08970875293016434
72,-0.04431256279349327
73,-0.09370698779821396
74,-0.24771304428577423
75,0.0995175838470459
76,0.34964534640312195
77,0.15972216427326202
78,-0.13049069046974182
79,0.058082178235054016
80,-0.0434873141348362
81,-0.1221528872847557
82,0.03896836191415787
83,0.01919826865196228
84,-0.09627480059862137
85,0.04094159975647926
86,-0.09926776587963104
87,-0.01640625298023224
88,0.1447066366672516
89,0.0568818561732769
90,-0.05513252690434456
91,0.0781308263540268
92,-0.004045856650918722
93,0.06316619366407394
94,0.07283915579319
95,0.09504659473896027
96,-0.18144190311431885
97,0.06552131474018097
98,-0.11218449473381042
99,-0.05548153817653656
100,0.09842579811811447
101,-0.08540745824575424
102,0.001436486840248108
103,0.06886923313140869
104,-0.1649354249238968
105,0.21942459046840668
106,-0.03450632467865944
107,-0.01706863008439541
108,-0.012008130550384521
109,0.06281378865242004
110,-0.04694933444261551
111,0.008175825700163841
112,0.13311295211315155
113,-0.2204599827528
114,0.10129495710134506
115,0.06303256750106812
116,-0.032580770552158356
117,0.14021573960781097
118,0.0790778324007988
119,0.058571234345436096
120,-0.028610922396183014
121,-0.04225698113441467
122,-0.1511058658361435
123,-0.12091983109712601
124,-0.02423504739999771
125,-0.0030044689774513245
126,0.03455669432878494
127,0.07524137198925018
