,i
0,-0.11440055072307587
1,0.14539971947669983
2,0.08869632333517075
3,0.019118741154670715
4,-0.04217218607664108
5,-0.039221782237291336
6,-0.03914593160152435
7,-0.04902723431587219
8,0.13761311769485474
9,0.005373753607273102
10,0.26556095480918884
11,-0.016285061836242676
12,-0.20579451322555542
13,-0.1414508819580078
14,0.03867586702108383
15,0.11000896245241165
16,-0.20563136041164398
17,-0.0874669998884201
18,-0.023865941911935806
19,-0.07597674429416656
20,-0.00535658560693264
21,0.01748518832027912
22,0.08657154440879822
23,0.05565711855888367
24,-0.12431841343641281
25,-0.39273399114608765
26,-0.043144285678863525
27,-0.18870839476585388
28,0.022035682573914528
29,-0.08426100760698318
30,-0.029695577919483185
31,0.08816137909889221
32,-0.1961548775434494
33,-0.07645392417907715
34,-0.0119019765406847
35,0.10326032340526581
36,0.03084144927561283
37,0.018199782818555832
38,0.16257387399673462
39,-0.011486981064081192
40,-0.11042153835296631
41,-0.0552445724606514
42,0.07230710983276367
43,0.28583383560180664
44,0.2363177239894867
45,0.08596593141555786
46,0.00789526104927063
47,0.05320451408624649
48,0.09001109004020691
49,-0.22986549139022827
50,0.060687050223350525
51,0.11406516283750534
52,0.2014659196138382
53,0.007925964891910553
54,0.06191262975335121
55,-0.14087988436222076
56,-0.0501398891210556
57,0.018344245851039886
58,-0.15777765214443207
59,0.01402353122830391
60,0.0007549156434834003
61,-0.011927139014005661
62,-0.07581684738397598
63,-0.010129375383257866
64,0.3241117000579834
65,0.11622751504182816
66,-0.13188636302947998
67,-0.052535053342580795
68,0.10376344621181488
69,-0.13183139264583588
70,-0.07051488757133484
71,0.06374024599790573
72,-0.14990440011024475
73,-0.12489769607782364
74,-0.3055317997932434
75,0.05904395133256912
76,0.37722232937812805
77,0.04965267330408096
78,-0.2130255401134491
79,0.014073766767978668
80,-0.12618610262870789
81,-0.003802131861448288
82,0.005371112376451492
83,0.049862854182720184
84,-0.10496414452791214
85,0.026365377008914948
86,-0.13360770046710968
87,0.0040232036262750626
88,0.1491846740245819
89,-0.04445372521877289
90,-0.0627206340432167
91,0.17053256928920746
92,-0.03707629442214966
93,0.0648517906665802
94,0.012344561517238617
95,-0.007010221481323242
96,-0.033904194831848145
97,-0.020624443888664246
98,-0.14993886649608612
99,-0.062088742852211
100,0.08443587273359299
101,-0.03944559022784233
102,-0.04773253947496414
103,0.07657331228256226
104,-0.22336441278457642
105,0.028896741569042206
106,0.03610548749566078
107,-0.009293092414736748
108,0.06195356696844101
109,0.05568811297416687
110,-0.1499893218278885
111,-0.10445623099803925
112,0.16341155767440796
113,-0.2780524790287018
114,0.17729251086711884
115,0.16843503713607788
116,-0.06911199539899826
117,0.1454874575138092
118,0.06334919482469559
119,0.08176454901695251
120,-0.01158369705080986
121,-0.004800476133823395
122,-0.08395592123270035
123,-0.09112520515918732
124,0.09285186231136322
125,-0.012752413749694824
126,0.04196978360414505
127,0.009149046614766121
